name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_170.723705_3.2475_KIDS_170.5_3.5,170.723705,3.2475,6.46,23.91,9.5,1.22,A
galaxy_171.03537_3.7344_KIDS_171.5_3.5,171.03537,3.7344,7.76,23.83,10,0,A
galaxy_173.911291_-3.8997_KIDS_173.5_-3.5,173.911291,-3.8997,6.39,24.66,9.5,1.22,A
galaxy_176.207643_-1.9774_KIDS_176.0_-1.5,176.207643,-1.9774,5.26,25.18,8.57,2.7,A
galaxy_178.002306_1.4595_KIDS_178.0_1.5,178.002306,1.4595,6.47,24.28,9.5,1.22,A
galaxy_179.582774_-1.1277_KIDS_180.0_-1.5,179.582774,-1.1277,4.92,25,8.14,2.67,A
galaxy_180.418004_-1.2042_KIDS_180.0_-1.5,180.418004,-1.2042,10.63,25.29,9.14,1.46,A
galaxy_180.58741_2.2665_KIDS_180.5_2.5,180.58741,2.2665,5.78,23.86,9.5,1.22,A
galaxy_180.660644_1.8314_KIDS_181.0_1.5,180.660644,1.8314,5.12,24.41,9,1.55,A
galaxy_180.846081_1.79_KIDS_181.0_1.5,180.846081,1.79,5.19,25.31,8.57,2.7,A
galaxy_180.869784_1.4058_KIDS_181.0_1.5,180.869784,1.4058,5.94,24.05,10,0,A
galaxy_180.886493_1.803_KIDS_181.0_1.5,180.886493,1.803,7,23.89,10,0,A
galaxy_180.92418_1.9327_KIDS_181.0_1.5,180.92418,1.9327,7.24,25.62,9.57,1.13,A
galaxy_180.979638_0.5518_KIDS_181.0_0.5,180.979638,0.5518,5.84,24.67,10,0,A
galaxy_181.030854_1.5832_KIDS_181.0_1.5,181.030854,1.5832,7.36,24.55,10,0,A
galaxy_181.03294_1.3216_KIDS_181.0_1.5,181.03294,1.3216,4.89,25.4,8.71,1.6,A
galaxy_181.04094_1.8736_KIDS_181.0_1.5,181.04094,1.8736,5.12,24.41,10,0,A
galaxy_181.139664_1.416_KIDS_181.0_1.5,181.139664,1.416,5.1,25.36,9.14,1.46,A
galaxy_181.169951_1.4507_KIDS_181.0_1.5,181.169951,1.4507,4.7,25.14,8.71,1.6,A
galaxy_181.185553_1.0708_KIDS_181.0_1.5,181.185553,1.0708,5.34,25.69,9.57,1.13,A
galaxy_181.230193_-0.696_KIDS_181.0_-0.5,181.230193,-0.696,9.4,25.6,7.86,1.46,A
galaxy_181.246951_1.9873_KIDS_181.5_2.5,181.246951,1.9873,5.12,24.18,8.8,1.64,A
galaxy_181.247063_1.9554_KIDS_181.5_2.5,181.247063,1.9554,5.05,24.94,7.29,3.55,A
galaxy_181.352001_1.9237_KIDS_181.0_1.5,181.352001,1.9237,6.19,25.19,9.14,1.46,A
galaxy_181.788188_1.9005_KIDS_182.0_1.5,181.788188,1.9005,5.71,25.05,9.14,1.46,A
galaxy_181.883021_1.63_KIDS_182.0_1.5,181.883021,1.63,7.48,23.84,9.25,1.5,A
galaxy_181.894056_2.6405_KIDS_181.5_2.5,181.894056,2.6405,7.56,24.14,10,0,A
galaxy_182.38841_3.0175_KIDS_182.5_3.5,182.38841,3.0175,6.82,24.97,9.57,1.13,A
galaxy_183.182442_0.9822_KIDS_183.0_1.5,183.182442,0.9822,8.82,25.06,9.57,1.13,A
galaxy_183.238303_1.2303_KIDS_183.0_1.5,183.238303,1.2303,9.21,25.23,10,0,A
galaxy_183.273064_2.1054_KIDS_183.5_2.5,183.273064,2.1054,5.39,24.83,8.12,1.55,A
galaxy_183.454765_3.88_KIDS_183.5_3.5,183.454765,3.88,9.1,24.56,10,0,A
galaxy_183.848146_3.3083_KIDS_183.5_3.5,183.848146,3.3083,11.18,25.49,9.57,1.13,A
galaxy_184.060032_2.8928_KIDS_184.5_2.5,184.060032,2.8928,5.43,24.99,9.14,1.46,A
galaxy_184.442991_3.8634_KIDS_184.5_3.5,184.442991,3.8634,7.35,25.09,9.57,1.13,A
galaxy_184.466294_3.8766_KIDS_184.5_3.5,184.466294,3.8766,4.83,24.36,8,1.55,A
galaxy_184.594275_3.6697_KIDS_184.5_3.5,184.594275,3.6697,7.08,24.93,9.62,1.06,A
galaxy_184.73388_3.4979_KIDS_184.5_3.5,184.73388,3.4979,5.78,25.79,9.57,1.13,A
galaxy_186.178038_3.2044_KIDS_186.5_3.5,186.178038,3.2044,7.95,26.03,9.62,1.06,A
galaxy_187.441597_3.5203_KIDS_187.5_3.5,187.441597,3.5203,8.18,25.91,9.57,1.13,A
galaxy_187.660257_-3.745_KIDS_187.5_-3.5,187.660257,-3.745,6.18,25.15,9.57,1.13,A
galaxy_187.870362_3.97_KIDS_187.5_3.5,187.870362,3.97,5.24,24.99,9.5,1.22,A
galaxy_188.17264_-0.6128_KIDS_188.0_-0.5,188.17264,-0.6128,10.01,25.68,8.5,1.64,A
galaxy_188.183492_1.7753_KIDS_188.0_1.5,188.183492,1.7753,7.35,25.66,9.14,1.46,A
galaxy_188.232943_3.3605_KIDS_188.5_3.5,188.232943,3.3605,15.69,23.92,8.8,1.64,A
galaxy_188.290139_-0.3762_KIDS_188.0_-0.5,188.290139,-0.3762,13.95,24.85,10,0,A
galaxy_188.326012_2.04_KIDS_188.5_2.5,188.326012,2.04,7.06,24.21,10,0,A
galaxy_188.357162_2.4129_KIDS_188.5_2.5,188.357162,2.4129,5.04,24.71,9.25,1.39,A
galaxy_188.365659_3.872_KIDS_188.5_3.5,188.365659,3.872,5.04,24.78,9,1.55,A
galaxy_188.561945_2.2966_KIDS_188.5_2.5,188.561945,2.2966,7.54,24.35,10,0,A
galaxy_188.603521_2.332_KIDS_188.5_2.5,188.603521,2.332,5.3,25.21,9.57,1.13,A
galaxy_188.846954_3.9354_KIDS_188.5_3.5,188.846954,3.9354,7.51,26.08,9.57,1.13,A
galaxy_188.979683_2.4861_KIDS_188.5_2.5,188.979683,2.4861,8,24.72,9.14,1.46,A
galaxy_188.993246_1.8852_KIDS_189.0_1.5,188.993246,1.8852,4.73,24.76,8.71,1.6,A
galaxy_189.032414_-0.9883_KIDS_189.0_-0.5,189.032414,-0.9883,5.97,23.87,8.8,1.64,A
galaxy_189.069234_-2.1941_KIDS_189.5_-2.5,189.069234,-2.1941,8.14,24.47,10,0,A
